Rank,Name,Platform,Year,Genre,Publisher,,,,,,,,
16836,Gensou Suikoden I & II,PSP,2006,Role-Playing,Konami,,,,,,,,
16837,Geometry Wars 3: Dimensions Evolved,PS4,2016,Action,Activision,,,,,,,,
16838,Gintama: Banji Oku Chuubu!,Wii,2007,Action,Namco Bandai,,,,,,,,
16839,Girls Only,DS,2010,Simulation,O-Games,,,,,,,,
16840,Gloria Union,PSP,2011,Role-Playing,Atlus,,,,,,,,
16841,Go! Go! Hypergrind,GC,2003,Sports,Atlus,,,,,,,,
16842,Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,2016,Adventure,5pb,,,,,,,,
16843,God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PS4,2016,Misc,Namco Bandai Games,,,,,,,,
16844,God of War III Remastered,PS4,2015,Action,Sony Computer Entertainment Europe,,,,,,,,
16845,God Wars The Complete Legend,NS,2018,Strategy,NIS America,,,,,,,,
16846,Gokujou!! Mecha Mote Iinchou: MM My Best Friend!,DS,2010,Simulation,Konami,,,,,,,,
16847,Golden Nugget Casino / Texas Hold 'Em Double Pack,GBA,2005,Misc,Majesco,,,,,,,,
16848,Gotcha Force,GC,2003,Shooter,Capcom,,,,,,,,
16849,Gothic Universe,PC,2007,Role-Playing,DreamCatcher Interactive,,,,,,,,
16850,Gotouchi Kenkei DS,DS,2006,Misc,Spike,,,,,,,,
16851,Graffiti Kingdom,PS2,2005,Role-Playing,Hot-B,,,,,,,,
16852,Grand Theft Auto: The Trilogy,PC,2009,Adventure,Rockstar Games,,,,,,,,
16853,Great Edo Blacksmith,PSV,2014,Simulation,Nippon Ichi Software,,,,,,,,
16854,Greg Hastings' Tournament Paintball Max'd,GBA,2006,Shooter,Activision,,,,,,,,
16855,Grid Runner,PS,1996,Action,Virgin Interactive,,,,,,,,
16856,GTR Evolution,PC,2008,Racing,Viva Media,,,,,,,,
16857,Guild Wars: Nightfall,PC,2006,Role-Playing,NCSoft,,,,,,,,
16858,Guilty Gear XX Accent Core Plus,Wii,2009,Fighting,Aksys Games,,,,,,,,
16859,Guitar Freaks V & DrumMania V,PS2,2006,Simulation,Konami,,,,,,,,
16860,Guitar Hero: World Tour,PC,2009,Misc,Activision,,,,,,,,
16861,GunGriffon: Allied Strike,XB,2004,Simulation,Tecmo,,,,,,,,
16862,Haitaka no Psychedelica,PSV,2016,Adventure,Idea Factory,,,,,,,,
16863,Hajime no Ippo: The Fighting,GBA,2002,Fighting,ESP,,,,,,,,
16864,Hakuoki: Kyoto Winds,PSV,2017,Adventure,Idea Factory,,,,,,,,
16865,Hakuouki,PS2,2008,Adventure,Idea Factory,,,,,,,,
16866,Hallowed Legends: Samhain,PC,2011,Adventure,Focus Home Interactive,,,,,,,,
16867,Hanayaka Kana Ware ga Ichizoku Twin Pack,PSP,2011,Misc,Idea Factory,,,,,,,,
16868,Handball 16,PS3,2015,Sports,Bigben Interactive,,,,,,,,
16869,Hankou Shashin,SAT,1996,Adventure,Imagineer,,,,,,,,
16870,HappinessCharge PreCure! Kawarun Collection,3DS,2014,Misc,Namco Bandai Games,,,,,,,,
16871,Harry Potter and the Half-Blood Prince,PC,2009,Action,Electronic Arts,,,,,,,,
16872,Harukanaru Toki no Naka de 3 Ultimate,PSV,2017,Adventure,Tecmo Koei,,,,,,,,
16873,Harukanaru Toki no Naka de 6,PSV,2015,Adventure,Tecmo Koei,,,,,,,,
16874,Harukanaru Toki no Naka de Yumenoukihashi Special,PS2,2009,Adventure,KOEI,,,,,,,,
16875,Hayate no Gotoku! Nightmare Paradise,PSP,2009,Adventure,Konami,,,,,,,,
16876,Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Oyashiki-Hen,DS,2008,Simulation,Konami,,,,,,,,
16877,Heathcliff! The Fast and the Furriest,Wii,2010,Racing,Storm City Games,,,,,,,,
16878,Hello Kitty: Roller Rescue,PC,2005,Action,Empire Interactive,,,,,,,,
16879,Hermie Hopperhead: Scrap Panic,PS,1995,Platform,Sony Computer Entertainment,,,,,,,,
16880,Heroes of Hellas 2: Olympia,DS,2012,Puzzle,Unknown,,,,,,,,
16881,Highschool Terra Story,SAT,1998,Adventure,KID,,,,,,,,
16882,Higurashi no Naku Koro ni Iki,PSV,2015,Action,Kaga Create,,,,,,,,
16883,Higurashi no Naku Koro ni Kizuna: Dai-San-Kan - Rasen,DS,2009,Adventure,Alchemist,,,,,,,,
16884,Higurashi no Naku Koro ni Kizuna: Dai-Yon-Kan - Kizuna,DS,2010,Adventure,Alchemist,,,,,,,,
16885,Hiiro no Kakera 2: Hisui no Shizuku,PS2,2007,Adventure,Idea Factory,,,,,,,,
16886,Hiiro no Kakera 3: Aoikuro no Kusabi,PS2,2008,Adventure,Idea Factory,,,,,,,,
16887,Hiiro no Kakera: Shin Tamayori Hime Denshou - Piece of Future,PSP,2011,Adventure,Idea Factory,,,,,,,,
16888,Hissatsu Pachinko Collection 3,SNES,1995,Misc,Sunsoft,,,,,,,,
16889,Hisshou Pachinko*Pachi-slot Kouryaku Series DS Vol. 3: Shinseiki Evangelion - Yakusoku no Toki,DS,2008,Misc,D3 Publisher,,,,,,,,
16890,Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono,DS,2009,Misc,D3 Publisher,,,,,,,,
16891,Hitman: Blood Money,PC,2006,Action,Eidos Interactive,,,,,,,,
16892,Hokuto no Ken: Hokuto Shinken Denshousha no Michi,DS,2008,Action,Spike,,,,,,,,
16893,Homeworld 2,PC,2003,Strategy,Sierra Entertainment,,,,,,,,
16894,Hot Pixel,PSP,2007,Puzzle,Atari,,,,,,,,
16895,HotBrain,PSP,2007,Puzzle,Midway Games,,,,,,,,
16896,Hotel Giant 2,PC,2010,Strategy,Nobilis,,,,,,,,
16897,House M.D.,DS,2010,Adventure,Legacy Interactive,,,,,,,,
16898,Hudson x GReeeeN Live!? DeeeeS!?,DS,2010,Misc,Hudson Soft,,,,,,,,
16899,Hyakumanton no Bara Bara,PSP,2010,Strategy,Sony Computer Entertainment,,,,,,,,
16900,I Heart Geeks,DS,2011,Puzzle,CDV Software Entertainment,,,,,,,,
16901,Imagine: Sweet 16,DS,2010,Simulation,Ubisoft,,,,,,,,
16902,Immortal Unchained,XOne,2018,Role-Playing,Sold Out,,,,,,,,
16903,In Cold Blood,PS,2001,Adventure,DreamCatcher Interactive,,,,,,,,
16904,Inazuma Eleven 3: Team Ogre Attacks!,3DS,2014,Role-Playing,Nintendo,,,,,,,,
16905,InFAMOUS: First Light,PS4,2014,Action,Sony Computer Entertainment,,,,,,,,
16906,INSIDE / LIMBO Double Pack,XOne,2017,Platform,505 Games,,,,,,,,
16907,Jack Keane,PC,2008,Adventure,Strategy First,,,,,,,,
16908,James Pond: Codename Robocod,GBA,2005,Platform,Valcon Games,,,,,,,,
16909,Jet Grind Radio,GBA,2003,Action,THQ,,,,,,,,
16910,Jewel Master: Cradle of Rome,Wii,2009,Puzzle,Destineer,,,,,,,,
16911,Jewel Quest 5: The Sleepless Star,DS,2013,Puzzle,Tulip Games,,,,,,,,
16912,Jig-A-Pix: Wild World,DS,2010,Puzzle,Destineer,,,,,,,,
16913,Jikandia: The Timeless Land,PSP,2011,Role-Playing,Aksys Games,,,,,,,,
16914,Jikkyou Powerful Pro Yakyuu Wii Ketteiban,Wii,2007,Sports,Konami,,,,,,,,
16915,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken 2,PS2,2007,Misc,Sega,,,,,,,,
16916,Judge Dredd: Dredd Vs Death,PS2,2005,Shooter,Evolved Games,,,,,,,,
16917,Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,PSP,2010,Role-Playing,Gust,,,,,,,,
16918,Junior Island Adventure,DS,2011,Puzzle,Unknown,,,,,,,,
16919,Justice League Heroes: The Flash,GBA,2006,Action,Warner Bros. Interactive,,,,,,,,
16920,Kabu Trader Shun,DS,2007,Action,Capcom,,,,,,,,
16921,Kaidan Restaurant: Zoku! Shin Menu 100-Sen,DS,2011,Misc,Namco Bandai,,,,,,,,
16922,Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu,PSP,2011,Adventure,Alchemist,,,,,,,,
16923,Kaizoku Sentai Gokaiger: Atsumete Henshin! 35 Sentai!,DS,2011,Action,Namco Bandai,,,,,,,,
16924,Kamen Rider: Climax Fighters,PS4,2017,Fighting,Namco Bandai Games,,,,,,,,
16925,Kamen Rider: Climax Scramble Zi-O,NS,2018,Fighting,Bandai Namco Games,,,,,,,,
16926,Katekyoo Hitman Reborn! DS: Fate of Heat II - Unmei no Futari,DS,2009,Role-Playing,Marvelous Interactive,,,,,,,,
16927,Katekyoo Hitman Reborn! DS: Ore ga Boss! Saikyou Family Taisen,DS,2009,Action,Takara Tomy,,,,,,,,
16928,Katekyoo Hitman Reborn! Kizuna no Tag Battle,PSP,2010,Fighting,Marvelous Interactive,,,,,,,,
16929,Kawasaki Snowmobiles,Wii,2008,Racing,Destineer,,,,,,,,
16930,Kekkaishi: Kokubourou no Kage,Wii,2007,Action,Namco Bandai,,,,,,,,
16931,Kekkaishi: Kokubourou Shuurai,DS,2008,Action,Namco Bandai,,,,,,,,
16932,Keshisasu-Kun: Battle Kas-tival,DS,2010,Action,Konami,,,,,,,,
16933,Kevin Van Dam: Big Bass Challenge,Wii,2010,Sports,Zoo Games,,,,,,,,
16934,Kidou Senshi V Gundam,SNES,1994,Action,Bandai,,,,,,,,
16935,King Arthur II: The Role-playing Wargame,PC,2012,Strategy,Paradox Interactive,,,,,,,,
16936,King's Quest: The Complete Collection,X360,2016,Adventure,Activision,,,,,,,,
16937,Kiniro no Corda 2 f Encore,PSP,2009,Role-Playing,KOEI,,,,,,,,
16938,Kiniro no Corda 3,PS2,2010,Adventure,KOEI,,,,,,,,
16939,Kintaihi Shounen no Jiken: Kyakusen Eris-Gou no Sangeki,DS,2009,Adventure,Creative Core,,,,,,,,
16940,Klonoa 2: Dream Champ Tournament,GBA,2005,Platform,Namco,,,,,,,,
16941,Knights of Honor,PC,2005,Strategy,Paradox Interactive,,,,,,,,
16942,Koihime Enbu,PS4,2016,Fighting,Yeti,,,,,,,,
16943,Kokoro no Kokoron,DS,2011,Misc,Namco Bandai,,,,,,,,
16944,Konami Classics Series: Arcade Hits,DS,2007,Misc,Konami,,,,,,,,
16945,Kong: King of Atlantis,GBA,2005,Action,Majesco,,,,,,,,
16946,Konohana 2: Todoke Kanai Requiem,PS2,2002,Adventure,Success,,,,,,,,
16947,Konpeki no Kantai,SNES,1995,Strategy,Angel Studios,,,,,,,,
16948,Kung Fu Panda: Legendary Warriors,DS,2008,Action,Activision,,,,,,,,
16949,Kung Fu Panda: Showdown of Legendary Legends,X360,2015,Action,Little Orbit,,,,,,,,
16950,Kuryuu Youma Gakuenki Recharge,PS2,2006,Adventure,Atlus,,,,,,,,
16951,La Corda d'Oro 4,PSV,2016,Action,Tecmo Koei,,,,,,,,
16952,La Pucelle: Ragnarok,PSP,2009,Role-Playing,Nippon Ichi Software,,,,,,,,
16953,Labyrinth Cross Blood: Infinity,PSV,2013,Role-Playing,CyberFront,,,,,,,,
16954,Labyrinth of Refrain: Coven of Dusk,PS4,2018,Action,NIS America,,,,,,,,
16955,Labyrinth of Refrain: Coven of Dusk,PSV,2016,Action,Nippon Ichi Software,,,,,,,,
16956,Last Escort 2: Shinya no Amai Toge,PS2,2008,Adventure,D3 Publisher,,,,,,,,
16957,Last Escort: Club Katze,PSP,2010,Adventure,D3 Publisher,,,,,,,,
16958,Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy DX,NS,2019,Puzzle,Level 5,,,,,,,,
16959,Legend of the Dragon,PSP,2007,Fighting,Game Factory,,,,,,,,
16960,Legendary Fishing,PS4,2018,Sports,Ubisoft,,,,,,,,
16961,Legends of Chima: Laval's Journey,DS,2013,Action-Adventure,Warner Bros. Interactive Entertainment,,,,,,,,
16962,Lego City Undercover: The Chase Begins,3DS,2013,Action,Nintendo,,,,,,,,
16963,Lethal Enforcers I & II,PS,1997,Shooter,Konami,,,,,,,,
16964,Let's Dance with Mel B,PS3,2012,Sports,Black Bean Games,,,,,,,,
16965,Let's Dance with Mel B,Wii,2012,Sports,Black Bean Games,,,,,,,,
16966,Let's Play Ballerina,Wii,2010,Sports,Deep Silver,,,,,,,,
16967,Little Bears,DS,2010,Simulation,Zoo Games,,,,,,,,
16968,Lock On: Modern Air Combat,PC,2003,Simulation,Ubisoft,,,,,,,,
16969,Looney Tunes: Galactic Sports,PSV,2015,Action,Sony Computer Entertainment,,,,,,,,
16970,Lost Planet 2,PC,2010,Shooter,Capcom,,,,,,,,
16971,Lux-Pain (JP sales),DS,2009,Adventure,Ignition Entertainment,,,,,,,,
16972,M&Ms Shell Shocked,PS,2001,Action,Berkeley,,,,,,,,
16973,Madden NFL 07,GBA,2006,Sports,EA Sports,,,,,,,,
16974,Madou Monogatari,SAT,1998,Role-Playing,Compile,,,,,,,,
16975,Magna Carta Portable,PSP,2006,Role-Playing,Banpresto,,,,,,,,
16976,Mahjong 300,DS,2011,Puzzle,Avanquest,,,,,,,,
16977,Mahjong Kakutou Club: Zenkoku Taisenban,PS3,2006,Misc,Konami,,,,,,,,
16978,Mahou Sensei Negima! Kagai Jugyou ~Otome no Dokidoki Beachside~,PS2,2006,Adventure,Konami,,,,,,,,
16979,Mahou Sensei Negima! Private Lesson 2: Ojama Shimasu Parasite de Chu,GBA,2006,Role-Playing,Marvelous Interactive,,,,,,,,
16980,Majesty 2: The Fantasy Kingdom Sim,OSX,2009,Strategy,Paradox Interactive,,,,,,,,
16981,Major League Baseball 2K8,PSP,2008,Sports,2K Sports,,,,,,,,
16982,Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,PS3,2011,Strategy,Nippon Ichi Software,,,,,,,,
16983,Makai Senki Disgaea Portable: Tsuushin Taisen Hajime Mashita,PSP,2007,Role-Playing,Nippon Ichi Software,,,,,,,,
16984,Mame Goma: Honobo no Nikki,DS,2007,Simulation,TDK Core,,,,,,,,
16985,MapleStory DS,DS,2010,Role-Playing,Nexon,,,,,,,,
16986,Marble Madness / Klax,GBA,2005,Puzzle,DSI Games,,,,,,,,
16987,Marines: Modern Urban Combat,Wii,2010,Shooter,Destineer,,,,,,,,
16988,Marker Man Adventures,DS,2009,Platform,Majesco,,,,,,,,
16989,Mary Skelter: Nightmares 2,PS4,2018,Role-Playing,Compile Heart,,,,,,,,
16990,Mashiro Iro Symphony: *mutsu-no-hana,PSP,2011,Adventure,Comfort,,,,,,,,
16991,Master of Monsters: Disciples of Gaia,PS,1998,Strategy,ASCII Entertainment,,,,,,,,
16992,Max & the Magic Marker,Wii,2011,Platform,Unknown,,,,,,,,
16993,Max Payne,GBA,2003,Action,Rockstar Games,,,,,,,,
16994,Max Payne 2: The Fall of Max Payne,PC,2003,Shooter,Rockstar Games,,,,,,,,
16995,Maximum Racing: Drag & Stock Racer,Wii,2011,Racing,Unknown,,,,,,,,
16996,Maximum Racing: GP Classic Racing,Wii,2011,Racing,Unknown,,,,,,,,
16997,MechAssault: Phantom War,DS,2006,Simulation,Majesco,,,,,,,,
16998,Medabots Classics: Metabee Ver. / Rokusho Ver.,3DS,2017,Role-Playing,Imagineer,,,,,,,,
16999,Medal of Honor: Vanguard,PS2,2007,Shooter,Electronic Arts,,,,,,,,
17000,Mega Man X Legacy Collection 1+2,NS,2018,Platform,Capcom,,,,,,,,
17001,Mega Minis Volume 2,PSP,2011,Misc,Sony Computer Entertainment,,,,,,,,
17002,Men of War,PC,2009,Strategy,Aspyr,,,,,,,,
17003,Merv Griffin's Crosswords,DS,2008,Puzzle,ValuSoft,,,,,,,,
17004,Metal Dungeon,XB,2002,Role-Playing,Xicat Interactive,,,,,,,,
17005,Metal Gear Solid HD Collection,PSV,2012,Action,Konami Digital Entertainment,,,,,,,,
17006,Metal Gear Solid: Snake Eater 3D,3DS,2012,Action,Konami,,,,,,,,
17007,Metal Gear Solid: The Essential Collection (JP sales),PS2,2008,Adventure,Konami,,,,,,,,
17008,Metal Saga,PS2,2006,Role-Playing,Atlus,,,,,,,,
17009,Metal Saga: Hagane no Kisetsu,DS,2006,Role-Playing,Success,,,,,,,,
17010,Midnight Mysteries: The Edgar Allan Poe Conspiracy,PC,2009,Adventure,Mumbo Jumbo,,,,,,,,
17011,Minna no Golf Jou Vol.1,PSP,2007,Sports,Sony Computer Entertainment,,,,,,,,
17012,Mojo!,XB,2003,Puzzle,Crave Entertainment,,,,,,,,
17013,Monster Boy and the Cursed Kingdom,PS4,2018,Platform,FDG Entertainment,,,,,,,,
17014,Monster Energy Supercross - The Official Videogame,NS,2018,Racing,Milestone S.r.l.,,,,,,,,
17015,Monster Guardians,GBA,2001,Role-Playing,Konami,,,,,,,,
17016,Monster High: New Ghoul in School,X360,2015,Action,Little Orbit,,,,,,,,
17017,Monster Hunter Frontier Online: Forward 1,X360,2011,Role-Playing,Capcom,,,,,,,,
17018,Monster Hunter Frontier Online: Forward 2,X360,2011,Role-Playing,Capcom,,,,,,,,
17019,Monster Hunter Frontier Online: Season 10,X360,2011,Role-Playing,Capcom,,,,,,,,
17020,Monster Mayhem: Build and Battle,DS,2009,Simulation,Crave Entertainment,,,,,,,,
17021,Monster Mayhem: Build and Battle,Wii,2009,Simulation,Crave Entertainment,,,,,,,,
17022,Monster Rancher Hop-A-Bout,PS,2000,Action,Tecmo,,,,,,,,
17023,Monsters vs. Aliens,PC,2009,Platform,Activision,,,,,,,,
17024,Montessori Music,DS,2011,Misc,SouthPeak Interactive,,,,,,,,
17025,Mortal Kombat,PC,1994,Fighting,Acclaim Entertainment,,,,,,,,
17026,Mortal Kombat II (JP sales),GEN,1994,Fighting,Acclaim Entertainment,,,,,,,,
17027,Mother Goose no Himitsu no Yakata,PSP,2011,Adventure,Quinrose,,,,,,,,
17028,Moto Racer DS,DS,2010,Racing,SouthPeak Interactive,,,,,,,,
17029,MotoGP,PSP,2006,Racing,Namco Bandai,,,,,,,,
17030,MotoGP 15,XOne,2015,Racing,Milestone S.r.l.,,,,,,,,
17031,Motor Trend presents Lotus Challenge,XB,2003,Racing,Xicat Interactive,,,,,,,,
17032,MotorHead,PS,1998,Racing,Fox Interactive,,,,,,,,
17033,Moyashimon DS,DS,2009,Action,Takara Tomy,,,,,,,,
17034,Mushihimesama Futari Ver 1.5,X360,2009,Shooter,Cave,,,,,,,,
17035,MuvLuv Double Pack,PSV,2016,Adventure,5pb,,,,,,,,
17036,MX vs. ATV Supercross,PS3,2014,Racing,Nordic Games,,,,,,,,
17037,MX World Tour Featuring Jamie Little,XB,2005,Racing,Crave Entertainment,,,,,,,,
17038,MXGP Pro,XOne,2018,Racing,Milestone S.r.l.,,,,,,,,
17039,My Animal Centre,Wii,2009,Simulation,Deep Silver,,,,,,,,
17040,My Ballet Studio,Wii,2009,Simulation,505 Games,,,,,,,,
17041,My DoItAll,DS,2009,Misc,Tomy Corporation,,,,,,,,
17042,My Frogger: Toy Trials,DS,2006,Action,Konami,,,,,,,,
17043,My Pet Shop (JP sales),DS,2009,Simulation,Taito,,,,,,,,
17044,MySims,PC,2008,Simulation,Electronic Arts,,,,,,,,
17045,Mystery Case Files: Ravenhearst,PC,2007,Puzzle,Big Fish Games,,,,,,,,
17046,Mystery Trackers: The Void,PC,2011,Puzzle,Focus Home Interactive,,,,,,,,
17047,N+,PSP,2008,Platform,Atari,,,,,,,,
17048,Nacho Libre,DS,2006,Action,Majesco,,,,,,,,
17049,Nanashi no Game Me,DS,2009,Action,Square Enix,,,,,,,,
17050,Nancy Drew: Alibi In Ashes,PC,2011,Adventure,Her Interactive,,,,,,,,
17051,Nanotek Warrior,PS,1997,Shooter,Virgin Interactive,,,,,,,,
17052,Napoleon Dynamite: The Game,DS,2007,Puzzle,Crave Entertainment,,,,,,,,
17053,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,PS4,2017,Fighting,Namco Bandai Games,,,,,,,,
17054,NatGeo Challenge! Wild Life,X360,2010,Misc,D3 Publisher,,,,,,,,
17055,NBA 08,PSP,2007,Sports,Sony Computer Entertainment,,,,,,,,
17056,NBA 2K13,PC,2012,Sports,2K Sports,,,,,,,,
17057,NBA 2K17,PC,2016,Sports,2K Sports,,,,,,,,
17058,NBA 2K7,XB,2006,Sports,2K Sports,,,,,,,,
17059,Nectaris: Military Madness,PS,1998,Strategy,Jaleco,,,,,,,,
17060,Negima!? Dream Tactic Yumemiru Otome Princess,PS2,2007,Strategy,Konami,,,,,,,,
17061,Nekketsu Kouha Kunio-Kun SP Kyousoukyoku,3DS,2013,Fighting,Arc System Works,,,,,,,,
17062,Net High,PSV,2015,Adventure,Marvelous Interactive,,,,,,,,
17063,Nettou! Powerful Koushien,DS,2010,Sports,Konami,,,,,,,,
17064,New Interpretation Stranger of Sword City,PSV,2016,Role-Playing,Experience Inc.,,,,,,,,
17065,NHL 07,XB,2006,Sports,EA Sports,,,,,,,,
17066,NHRA Drag Racing: Countdown to the Championship,PSP,2007,Racing,THQ,,,,,,,,
17067,Night Head: The Labyrinth,PS,1995,Adventure,Fuji,,,,,,,,
17068,Niko Puchi Girls Runway,3DS,2015,Misc,Happinet,,,,,,,,
17069,Nil Admirari no Tenbin: Teito Genwaku Toukidan,PSV,2016,Adventure,Idea Factory,,,,,,,,
17070,Nippon no Asoko de,PSP,2008,Misc,Sony Computer Entertainment,,,,,,,,
17071,Nisenochigiri: Omoide no Saki e,PSP,2011,Adventure,Idea Factory,,,,,,,,
17072,Nishijin Pachinko Monogatari 2,SNES,1996,Misc,KSS,,,,,,,,
17073,Nobunaga no Yabou DS 2,DS,2008,Strategy,KOEI,,,,,,,,
17074,Nobunaga no Yabou: Kakushin with Power-Up Kit,PS2,2008,Strategy,KOEI,,,,,,,,
17075,Nobunaga's Ambition: Sphere of Influence with Power-Up Kit,NS,2017,Strategy,Tecmo Koei,,,,,,,,
17076,Nobunaga's Ambition: Tenshouki with Power-Up Kit HD Version,PSV,2015,Strategy,Tecmo Koei,,,,,,,,
17077,Norn + Nonette: Act Tune,PSV,2016,Action,Idea Factory,,,,,,,,
17078,Ocean Commander,Wii,2009,Simulation,Valcon Games,,,,,,,,
17079,Ojyousama Express,SAT,1998,Strategy,Media Works,,,,,,,,
17080,OlliOlli: Epic Combo Edition,PS4,2016,Platform,Badland Studio,,,,,,,,
17081,Omega Labyrinth Z,PSV,,Role-Playing,Unknown,,,,,,,,
17082,Omega Quintet,PS4,2015,Role-Playing,Compile Heart,,,,,,,,
17083,Onechanbara Z: Kagura,X360,2012,Action,D3 Publisher,,,,,,,,
17084,OneeChanbara Z Kagura With NoNoNo!,PS3,2013,Action,D3Publisher,,,,,,,,
17085,Onimusha: Warlords,PS4,2019,Action-Adventure,Capcom,,,,,,,,
17086,Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,3DS,2012,Simulation,D3Publisher,,,,,,,,
17087,Onrush,XOne,2018,Racing,Deep Silver,,,,,,,,
17088,Ookiku Furikabutte: Honto no Ace ni Nareru kamo,DS,2007,Sports,Marvelous Interactive,,,,,,,,
17089,Open Season,PS2,2006,Platform,Ubisoft,,,,,,,,
17090,Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou,DS,2011,Role-Playing,Hudson Soft,,,,,,,,
17091,Osomatsu-San: The Game - Hang-Up Finding Employment Advice - Dead or Work,PSV,2017,Adventure,Idea Factory,,,,,,,,
17092,Otome wa Oanesama ni Koi Shiteru Portable: 2-Jin no Elder,PSP,2011,Adventure,Alchemist,,,,,,,,
17093,Otomedius Gorgeous,X360,2008,Shooter,Konami,,,,,,,,
17094,Otometeki Koi Kakumei * Love Revo,PS2,2006,Adventure,Interchannel,,,,,,,,
17095,Overlord II,PC,2009,Action,Codemasters,,,,,,,,
17096,Override: Mech City Brawl,PS4,2018,Action-Adventure,Modus Games,,,,,,,,
17097,OZMAFIA!! -vivace-,PSV,2015,Adventure,Dramatic Create,,,,,,,,
17098,Pachinko Kamen Rider: Shocker Zenmetsu Daisakusen,PS2,2008,Misc,Hackberry,,,,,,,,
17099,Pachitte Chonmage Tatsujin 12: Pachinko Ultraman,PS2,2007,Misc,Hackberry,,,,,,,,
17100,Pacific Liberator,Wii,2009,Action,Zoo Games,,,,,,,,
17101,ParaParaParadise,PS2,2001,Misc,Konami,,,,,,,,
17102,Parfait,PSV,2015,Adventure,TGL,,,,,,,,
17103,Past Cure,PS4,2018,Action,Phantom 8 Studio,,,,,,,,
17104,Peak Performance,PS,1997,Racing,Atlus,,,,,,,,
17105,Penguins of Madagascar,WiiU,2014,Action-Adventure,Little Orbit,,,,,,,,
17106,Penny-Punching Princess,NS,2018,Misc,NIS America,,,,,,,,
17107,Pet Alien: An Intergalactic Puzzlepalooza,DS,2007,Action,Game Factory,,,,,,,,
17108,Petz: Catz Playground,DS,2010,Simulation,Ubisoft,,,,,,,,
17109,Petz: Dolphinz Encounter,DS,2009,Simulation,Ubisoft,,,,,,,,
17110,Phantasy Star Online 2: Episode 3 Deluxe Package,PSV,2015,Action,Sega,,,,,,,,
17111,Pimp My Ride: Street Racing,DS,2009,Racing,Activision,,,,,,,,
17112,Pirates: Duels on the High Seas,DS,2009,Action,Oxygen Interactive,,,,,,,,
17113,Pitball,PS,1996,Sports,Accolade,,,,,,,,
17114,Planescape: Torment,PC,1999,Role-Playing,Interplay,,,,,,,,
17115,Planet of the Apes,GBA,2001,Action,Ubisoft,,,,,,,,
17116,Playmobil Top Agents,DS,2020,Action,Unknown,,,,,,,,
17117,Pocket Fighter,SAT,1998,Fighting,Capcom,,,,,,,,
17118,Pop Cutie! Street Fashion Simulation (JP sales),DS,2008,Simulation,KOEI,,,,,,,,
17119,PopCap Arcade Vol 2,X360,2009,Misc,PopCap Games,,,,,,,,
17120,Popeye: Rush for Spinach,GBA,2005,Platform,Namco,,,,,,,,
17121,Pop'n Music 13 Carnival,PS2,2006,Simulation,Konami,,,,,,,,
17122,Pop'n Music 14 Fever!,PS2,2007,Misc,Konami,,,,,,,,
17123,Power Poke Dash,GBA,2006,Sports,Konami,,,,,,,,
17124,Power Rangers Super Megaforce,3DS,2014,Action-Adventure,Namco Bandai Games,,,,,,,,
17125,PowerSlave,PS,1997,Shooter,Playmates,,,,,,,,
17126,Poy Poy,PS,1997,Action,Konami,,,,,,,,
17127,Prince of Persia (2008),PC,2008,Adventure,Ubisoft,,,,,,,,
17128,Prince of Persia: The Forgotten Sands,PC,2010,Action,Ubisoft,,,,,,,,
17129,"Princess Natasha: Student, Secret Agent, Princess",DS,2006,Action,DSI Games,,,,,,,,
17130,PriPara All Idol Perfect Stage!,NS,,Misc,Unknown,,,,,,,,
17131,Pro Cast Sports Fishing,XB,2003,Sports,Capcom,,,,,,,,
17132,Pro Evolution Soccer 2012,3DS,2012,Sports,Konami Digital Entertainment,,,,,,,,
17133,Pro Evolution Soccer 2017,PC,2016,Sports,Konami Digital Entertainment,,,,,,,,
17134,Pro Evolution Soccer 2018,X360,2017,Sports,Konami Digital Entertainment,,,,,,,,
17135,Pro Yakyuu Family Stadium,Wii,2008,Sports,Namco Bandai,,,,,,,,
17136,Pro Yakyuu Spirits 5 Kanzenban,PS3,2008,Sports,Konami,,,,,,,,
17137,Project Gotham Racing 2 (JP weekly sales),XB,2003,Racing,Microsoft Game Studios,,,,,,,,
17138,Pure Farming 2018,XOne,2018,Simulation,Techland,,,,,,,,
17139,Putty Squad,PSV,2014,Platform,Maximum Games,,,,,,,,
17140,Puyo Pop Fever(us sales),DS,2005,Puzzle,Atlus,,,,,,,,
17141,Puyo Puyo 7,PSP,2009,Puzzle,Sega,,,,,,,,
17142,Puyo Puyo Chronicle,3DS,2016,Action,Sega,,,,,,,,
